Question,Answer
How will the new payment hierarchy affect me?,"Any payment in excess of the Minimum Payment Due will be applied to the plans with the highest interest rate first. Hence, you will benefit by way of lower interest expenses incurred on the credit card. However, the impact of the new payment allocation logic will vary for different card accounts depending on the nature of spends and usage of the credit card."
What will be the payment allocation if I pay more than the statement balance?,"Any payments in excess of the statement balance will be allocated to any unbilled fees and charges followed by the unbilled principal balances, starting from balances with the highest interest rate, in the credit card account, if any."
"I have further queries on the new payment hierarchy, whom should I contact?","You may call our PhoneBanking numbers mentioned on the back of your credit card or on our website
on our website Find contact numbers
."
Need additional limit?,You might choose to increase the credit limit on your credit card from time to time in order to accommodate unforeseen expenses while travelling overseas or to pay for large purchases conveniently.
How do I increase the credit limit on my Credit Card. Am I eligible?,"Credit limit enhancement can be considered based on internal policies.
Some key points for eligibility have been mentioned below:
The card issuance date should be at least more than six months
No credit limit increase/decrease within last 6 months
There should be at least one purchase in the last three months
The credit card should not be over limit
The credit limit enhancement will be done post credit bureau checks as per Bank’s sole discretion
K.Y.C. should be up to date"
What are the documents required to increase the credit limit on my Credit Card?,"Any one of the following self-attested copy for income proof
For salaried employees:
Latest 3 months pay slips and Bank statements reflecting salary credit
Latest Income Tax Returns Latest Income Tax Returns
Form 16
For self-employed:
Latest Income Tax Returns
Any one of the following self-attested copy for ID proof for both salaried and self-employed individuals:
Passport
Government employee ID card
Election/Voter’s ID
Defence ID card
Permanent Driving Licence
PAN card"
I want to increase my credit card limit. How do I place a request?,"Credit limit enhancement can be requested via any of the following modes:
Contact HSBC PhoneBanking
(call on 1860 108 7788 or 1860 500 2277 within India, 040 - 67173402 \ 080 - 49089632 if overseas)
Complete the Credit Limit Enhancement form, attach your self-attested latest income document and a copy of self-attested proof of ID and mail to: Credit Cards Limit Management, The Hongkong and Shanghai Banking Corporation Limited, India (HSBC), HSBC - NESCO IT PARK, Building Number 3, Level - 9, Western Express Highway, Goregaon East, Mumbai - 400 063."
When will my Limit Increase request be processed?,"The credit limit enhancement will be processed within 3 working days after receipt of your documents and form. If approved, you will be able to view the revised credit limit in your next credit card statement."
Can I decrease the credit limit on my Credit Card?,"Yes, you may decrease the limit if your circumstances change or to mark new milestones as you pay your balance down.
You can do so by calling HSBC Phonebanking with your credit card number as reference, mentioning in the subject line that you wish to decrease your credit limit"
Will I be intimated if my credit limit is reduced by the bank?,"Yes, post the credit limit reduction you will be sent an SMS from the bank informing you about the limit reduction."
Will my limit on my Add on card get increased/decreased along with my primary card?,"Yes, if the limit on your primary credit card increases/decreases, the limit gets automatically increased/decreased on your add on card too.
(Add-On cardholders share the same limits as that of the Primary Account Holder)."
What happens if my credit limit request is declined by the bank?,"If the credit request is rejected due to internal policy reasons, there will be no impact on the current limit of the customer. An SMS will be sent to the customer mentioning the decline of the limit enhancement.
Please note
We will extend a loan/credit facility or enhance the credit limit on your card only with your consent in writing. Consent received through electronic means where you specifically validate the transaction and having read the MITC (most important terms and conditions) and where digital records of such consent can be retrieved as a proof of consent will also be treated as consent.
If the limit on your credit card is proposed to be reduced, we will inform you immediately, by SMS/e-mail."
How do I contact HSBC for any queries or service requests?,"All account holders
The email address 'info@hsbc.co.in' is no longer in use. If you are looking for information about our products or services or have other queries, please refer to our comprehensive FAQs. In case you’re still unable to find the answer to your question, you can talk to a representative by selecting the Live Chat tab on this page. Live Chat can provide general information on the products and services, but for information related to your accounts, please call HSBC Phone Banking.
There are three easy ways to raise a service request with us:
Log on to Personal Internet Banking and send us a secured email. Click here if you have already registered for internet Banking. If you wish to register, please click here.
Call HSBC Phone Banking : Our Phone Banking executives can process the following requests only when you verify your Phone Banking Pin (subject to certain conditions).
Change in select demographic details such as mobile number, e-mail, mailing address.
Request for select deliverables such as debit card, debit card Pin, credit card & credit card Pin.
Maintenance requests such as placement of fixed deposit, change of maturity instructions, premature withdrawal of singly held deposits.
Visit your nearest HSBC India branch.
If you wish to register a complaint, please complete an online form.
If your card has been lost or stolen or you suspect any fraudulent account activity or for any urgent matter, please contact HSBC Phone Banking."
How do I apply for a Home Loan/Loan Against Property (LAP) from HSBC?,"To apply for a Home Loan/LAP you may:
Walk in to the HSBC India branch or
Reach out to your Relationship Manager or
Call our PhoneBanking numbers or
Apply through the online tools on HSBC’s website and we will arrange for a bank representative to visit you."
What is the minimum and maximum Home Loan amount I can avail of?,The minimum and maximum loan depends on city of property and property type.
What is the minimum and maximum Loan Against Property amount I can avail of?,The minimum and maximum loan is dependent on city of property and property type.
What are the rate options available for Home Loan/LAP from HSBC?,Home Loan
Are there any charges that need to be paid while availing of the Home Loan/LAP facility from HSBC?,"Your Home Loan/Loan Against Property facility is subject to certain fees/charges applicable before and after disbursement. These charges include processing fees, paid partly on loan application and the balance before disbursement. Please refer to the ‘Loan Service Charges and Fees’ for further details. Additionally, your security documents need to be stamped/franked as per local stamp duty laws."
Are prepayment charges applicable for the Home Loan facility from HSBC?,For detailed information on the prepayment and other charges on Home Loan please visit - Loans Service Charges and Fees
Are prepayment charges applicable if I prepay my LAP?,For detailed information on the prepayment and other charges on Loan against Property please visit - Loans Service Charges and Fees
How do I repay my Home Loan/LAP?,"Your loan is to be repaid in monthly instalments on the due date as mentioned in the welcome kit. The instalment amount would comprise of principal and interest which are payable in Equated Monthly Instalments (EMIs), as set out in the Loan Agreement/Facility Advice Letter. The repayment of EMIs will be vide standing instructions to your HSBC account. In case your company is a co-applicant to the loan, then we also accept ECS from the company’s current account to repay the EMIs."
Can I avail of a Loan Against Property (LAP) against my commercial property?,"HSBC offers LAP only against owned residential properties. The residential property may be self-occupied or rented and should be free from any encumbrance (not mortgaged elsewhere). LAP is available to applicants for properties in and around the city limits of (sourcing cities) Mumbai, New Delhi (NCR), Bengaluru, Pune, Chandigarh, Jaipur, Ahmedabad, Chennai, Kolkata and Hyderabad and is subject to change from time to time."
I would like to know more about tax benefits/implications on a Home Loan. Whom do I need to approach?,We recommend that you approach a professional tax advisor for information on tax-related matters and implications on/of your loan.
What are the repayment date options for servicing my Home loan/Loan Against Property Equated Monthly Instalment (EMI)?,"The EMI dates would be on the 1st or the 15th of every month following the month of disbursal. For loans disbursed between the 1st and the 15th, the EMI would fall on the 1st of the next month and for loans disbursed between the 15th and the 31st of the month, the EMI would fall on the 15th of the next month."
How can I know what is the principal/interest break-up of the EMI paid?,"The Bank can provide you a loan track record which will give you the breakup of your monthly interest and principal payment. You can visit the nearest branch, call your Relationship Manager, call our PhoneBanking service or send us a secured e-mail through Internet Banking to request for a track record on your Home Loan."
"I have some queries and need some assistance on my existing Home Loan/LAP, whom do I approach?","You can visit the nearest HSBC branch, call our PhoneBanking numbers in India or reach out to your Relationship Manager."
How does Smart Home work?,"Your outstanding loan amount appears as a debit balance in your Smart Home Account. Any deposit in the Smart Home account, reduces this debit balance. Interest will be calculated on this debit balance amount in the account on a daily basis, i.e. if you pay an excess amount over the EMI, that amount will remain available for your use in the Smart Home account and at the same time it helps save on your interest payments. In addition to savings on interest, this facility also provides you with complete flexibility to use the Smart Home account as your banking account. You will get full access to this account through a cheque book, debit card and internet banking."
How do I repay the loan?,"Repayment of the loan is through a letter of authority to debit your Smart Home account for the EMI.
The interest portion of the EMI is debited to the Smart Home account and the principal portion in reduced from the limit outstanding You repay the loan by depositing at least the EMI amount into the Smart Home account every month.
Limit outstanding means the principal portion (limit defined on system) that is outstanding as on that day. This is not inclusive of any interest or principal portion of the ledger balance that is overdue for payment. The limit is reduced on a monthly basis in line with the principal payment expected."
How can I know what is the principal/interest break-up of the EMI paid?,The track record of your Smart Home will give you the break-up of your monthly interest and principal payment.
How do I repay the loan sooner with Smart Home from HSBC?,You pay the EMI every month which consists of the interest and principal components. Any excess deposit in the Smart Home account over and above the EMI helps you to save on interest payments. Such excess deposits will lead to lower interest component in the EMI and thereby higher amount being apportioned towards the principal repayment. This will help you pay off your loan faster.
How does SmartLAP from HSBC work?,"Your outstanding loan amount appears as a debit balance in your SmartLAP account. Any deposit in the SmartLAP account, reduces this debit balance. Interest will be calculated on this debit balance amount in the account on a daily basis, i.e. if you pay an excess amount over the EMI, the excess amount will remain available for your use in the SmartLAP account and at the same time it helps save on interest payments. In addition to savings on interest, this facility also provides you with complete flexibility to use the SmartLAP account as your banking account. You will get full access to this account with a cheque book, debit card and Internet Banking."
How do I repay the loan?,"Repayment of the loan is through a letter of authority to debit your SmartLAP account for the EMI.
The interest portion of the EMI is debited to the SmartLAP account and the principal portion in reduced from the Limit outstanding. You repay the loan by depositing at least the EMI amount into the SmartLAP account every month.
Limit outstanding means the principal portion (limit defined on system) that is outstanding as on that day. This is not inclusive of any interest or principal portion of the ledger balance that is overdue for payment. The limit is reduced on a monthly basis in line with the principal payment expect."
How can I know what is the principal/interest break-up of the EMI paid?,The track record of your SmartLAP will give you the break-up of your monthly interest and principal payment.
How do I repay the loan sooner with SmartLAP from HSBC?,You pay the EMI every month which consists of the interest and principal components. Any excess deposit in the SmartLAP account over and above the EMI helps you to save on interest payments. Such excess deposits will lead to lower interest component in the EMI and thereby higher amount being apportioned towards the principal repayment. This will help you pay off your loan faster.
Are pre-payments allowed on SmartLAP from HSBC?,"Yes, pre-payments are allowed. For this, you must issue written instructions to the Bank stating that you wish to reduce the loan amount."
How do I contact HSBC for any queries or service requests?,"All account holders
The email address 'info@hsbc.co.in' is no longer in use. If you are looking for information about our products or services or have other queries, please refer to our comprehensive FAQs. In case you’re still unable to find the answer to your question, you can talk to a representative by selecting the Live Chat tab on this page. Live Chat can provide general information on the products and services, but for information related to your accounts, please call HSBC Phone Banking.
There are three easy ways to raise a service request with us:
Log on to Personal Internet Banking and send us a secured email. Click here if you have already registered for internet Banking. If you wish to register, please click here.
Call HSBC Phone Banking : Our Phone Banking executives can process the following requests only when you verify your Phone Banking Pin (subject to certain conditions).
Change in select demographic details such as mobile number, e-mail, mailing address.
Request for select deliverables such as debit card, debit card Pin, credit card & credit card Pin.
Maintenance requests such as placement of fixed deposit, change of maturity instructions, premature withdrawal of singly held deposits.
Visit your nearest HSBC India branch.
If you wish to register a complaint, please complete an online form.
If your card has been lost or stolen or you suspect any fraudulent account activity or for any urgent matter, please contact HSBC Phone Banking."
What are the basic rules to investing?,"Here are some simple guidelines to follow for making wise investments:
Set your objectives.
Make sure you understand exactly what risks are involved with every investment you make.
Do engage with your tax consultant before and during the investment journey to understand the tax implications of your every investment related decision.
Ask yourself whether you wish to invest or speculate.
For investments, make sure that you have an investment return target and the capability to accept losses before investing.
Do not make investment decisions out of panic when the market becomes volatile.
Invest as much as you can afford, but no more.
Always verify the past track record of at least 3-5 years of an investment firm or financial institution before investing in them.
Diversify. Invest internationally and spread your investments over a range of products in order to hedge against losses. However please be aware of associated currency and country risks before investing.
Make sure you understand exactly what risks are involved with every investment you make. If in doubt, seek professional advice.
Keep an eye on your investments continuously. Take opportunities and shift products if it is beneficial to do so."
When should I start planning for the future?,"The sooner you start, the better. The example below shows the difference in accumulative savings between Mr.Early and Mr.Late, who started saving at different times. Mr.Early saves for 10 years and then stops. Mr Late starts 10 years later and saves for 20 years. But Mr.Early still get 87% more than Mr.Late (based upon an investment that gives 10% annual growth, not taking into account annual inflation)."
What should I do before I start investing?,"Before you begin to think about investing your money, you should know your current financial situation and how much you can spare each month or regularly towards making the investments. Naturally, the more you can put aside now, the better it will be for your future. It is up to you to achieve a balance between your current lifestyleand your expectations.
You may use our financial planning tool to find out how much you can invest. Alternatively you can consider the below items before starting to invest.
Calculate your income and expenses taking into account the following:
Monthly household expenses
Mortgage repayments
Personal tax
Short-term loans and overdrafts
Emergency funds
Entertainment
Holidays
School fees
Other family commitments
Generally speaking, whatever spare cash you have after allowing for all your expenses is what you can afford to invest. You must consider to keep aside a certain amount for any immediate exigencies. You can commit to invest a certain amount each month and look upon it as a monthly expense. As your income increases, you should also increase the amount that you invest proportionately. By doing this, you will be keeping up with inflation and your money will be working for you."
"Now that I know how much I have to invest, what should I do?","Once you know how much you can invest, you need to set your objectives - why you are investing and how you are planning to use your investments. Your objectives could incorporate any combination of the following:
Protection for your family
Education for your children
Retirement planning
Managing and growing your wealth
Now make a list of your objectives, in order of priority, because you may not be able to afford to achieve every single goal. Divide your objectives into long, medium and short-term goals. This will help you to choose the type of investment that you need to make. Further you should consider your risk appetite before making any investment decision."
How do I determine my risk appetite?,"Keeping your objectives in mind, determine how much risk you are prepared to take. Do you want to adopt a conservative, moderate investment strategy or an aggressive one? Ask yourself the following questions before you make your decision:
Are you prepared to make long-term investments, which will allow you to take greater risks for higher returns?
If you are going for short-term, high-risk investments, can you afford to lose some of the money that you invest?
If you are married with children, what is the level of risk that you can take and still be certain of their future?
If you want your money to be safe, will you be content with a moderate rate of return?
If you opt for low risk investments, will the returns be enough to cover inflation?
The important thing to remember is that, in general, you can afford to choose higher-risk investment tools for longer-term investments because, even if they go down in the short term, they are likely to show an overall upward trend over a long period. But for short-term investments, you will find low-risk products a more reliable and safer option.
You can make use of our Risk Profiling Questionnaire to help you find out more about your investment risk appetite. Please approach your Relationship Manager for the same."
What is Rupee Cost Averaging?,"Rupee cost averaging is an investment strategy whereby the investor invests a fixed amount in a particular investment on a regular basis regardless of the price. This results in more units of the fund being purchased when the NAV is low and fewer units being purchased when the NAV is high. Eventually, the average cost per unit of the investment product reduce the risk of investing a large amount in a single investment at a time when the NAV is high."
What are the various types of investment /insurance products available in the market?,"Some of the common investment products available in the market are:
Equity Shares
Mutual Funds
Bonds
Investment Linked Insurance Products
Traditional Insurance Products"
What is a Mutual Fund?,A Mutual Fund(MF) is a type of investment where the money of a number of investors is pooled together into a mutual fund scheme and used by the fund manager (referred to as the ‘Asset Management Company’ or the ‘AMC’) to invest in underlying securities in line with the objectives of the mutual fund scheme.
What are the various types of mutual fund schemes?,"Mutual funds schemes can be broadly classified by structure and by asset category. There are specific schemes designed around these parameters, to meet different investment objectives with regard to risk, return and investment horizon. HSBC India distributes various mutual schemes. However, for the product categories such as Liquid/Cash Fund and Close-Ended Debt Funds (Capital Protection Oriented Plans), excluding Fixed Term Funds/Fixed Maturity Plans, the Bank only distributes products from HSBC Mutual Fund (HSBC MF) and does not offer products from other mutual fund houses."
How is investing in MFs different from investing directly into stocks / shares of companies?,"When you invest in mutual funds you do not own the underlying investments (which may be stocks / shares of companies) but have a claim to a number of units in the fund representing the size of your investment. Investing in Mutual Funds allow you to achieve a much wider spread of investments than if you invested directly in the stocks/ shares of companies. It is generally accepted that by spreading your investment you are spreading your risk, therefore investing in mutual funds is generally considered to have lower risk than direct investment."
What are the risks in MFs?,"Before you decide to invest in mutual funds, there are a number of risks (both general and specific) that you must be aware of. Some of these risks are Market Risk, Credit Risk, Interest Rate Risk etc. however different funds will have respective risks associated with them. For a full explanation of such risks, you must refer to the scheme documents SAI (Statement of Additional Information), KIM (Key Information Memorandum), SID (Scheme Information Document) and the addendums of the respective scheme. An investment in a mutual fund scheme is not a guaranteed investment. Their unit prices (NAVs) and the income from them, are not fixed. This means that the value of your investment may be less than what was originally invested."
Do all MFs have the same risks?,"No they do not. Some mutual funds have been designed for investors who are cautious, while others for those who are aggressive in their outlook towards risk. There are also funds for investors having a balanced outlook towards risk. You therefore need to understand the level of investment risk that you are willing to take, and then choose a mutual fund scheme, which matches your appetite for risk. The risk rating of mutual funds can change over time. We have mechanisms that can help you to understand your risk appetite, and also the risk rating associated with different funds."
Is there a currency risk associated with investing in MFs?,Currency risk is not associated with all the MF schemes. This risk is associated with only those MFs which can invest in overseas markets.
What are the different fees and charges related to mutual funds? And how do they impact my mutual fund investments?,"Different charges are applicable to different types of mutual fund schemes depending on the investor activity and the type of underlying securities involved. Charges may change from time to time based on revision in regulatory and the internal guidelines of the mutual fund distributor. The main types of charges are mentioned below, however you must refer to the Scheme Information Document of the fund to know the charges applicable to that particular fund.
Initial charges - These expenses are incurred by the AMCs for the scheme(s) before/during the launch towards marketing, publicity, advertising, registrar’s expenses, brokers’/agents’ commission etc. These expenses are not levied separately, but adjusted in the NAV of the fund.
Total Expense Ratio (TER) - These are charges towards the annual management of the scheme, including investment management, marketing, investor communication, registrar’s expenses and other expenses directly attributable to the scheme. These expenses are also adjusted in the NAV of the fund.
Exit Charges/exit loads - Although described as a charge this is really a penalty for early encashment which is applied by the mutual fund. This charge is deducted from the proceeds of the fund being exited by you. Exit charges vary from scheme to scheme and you have to refer scheme specific documents (namely the Statement of Additional Information (SAI)/Key Information Memorandum (KIM)/Scheme Information Document (SID) and addendums) before investing.
Bank Charges – These charges pertain to the wealth management services offered by The Hongkong and Shanghai Banking Corporation Limited, India (HSBC). A tariff card, indicating the Bank Charges for different services/ activities, is available with the HSBC Relationship Manager (RM) and also mentioned on the Letter of Instruction (LOI). Further, the tariff levied by HSBC is displayed on HSBC’s website on www.hsbc.co.in/investments/
www.hsbc.co.in/investments/ Visit the investments section of the website
All the above charges or any other charges as might be applicable are subject to change. Please refer to the Statement of Additional Information (SAI)/Key Information Memorandum (KIM)/Scheme Information Document (SID), addendums of the relevant mutual fund scheme and all the relevant documents such as the tariff card to know the exact details."
What is the effect of these charges?,"The TER and Bank Charges will have the effect of reducing the overall returns you receive either in the income you receive or the capital growth you experience. This TER is deducted from the overall value of the fund irrespective of whether the mutual fund scheme has made a profit or not therefore deduction of the TER can also increase the loss, the mutual fund scheme may have made. Similarly, Bank Charges reduce the overall value of your investment.
The effect of an exit load (where applicable) will be to reduce the actual amount you receive on encashment, which means you will receive less than the market value of the underlying investment. In case of redeeming and re-investing in funds of the same mutual fund company, you need to consider the 'Switch' option which is generally a cost-effective way to transact as there may be no need to pay the applicable exit load to the mutual fund. Furthermore, for a switch transaction within the same asset class of a mutual fund, no mutual fund transaction charges are payable to HSBC India. Investors must read all scheme information documents to know switching charges and exit loads before investing as the same may vary from one scheme to another. Investors much also refer to the bank tariff card to be aware of banking charges for every type of transaction they wish to undertake. The tariff card is available with the RM and is also mentioned on the Letter of Instruction, which is a document to be executed for buying, selling, switching of mutual funds through HSBC . The tariff is also displayed on HSBC’s website on www.hsbc.co.in/investments/
www.hsbc.co.in/investments/ Visit the investments section of the website"
If I invest what am I committing to?,"You are committing to invest at least the minimum amount, which varies across mutual fund schemes. You also commit to understanding the scheme and its associated risks. It implies that you are agreeable to take a degree of investment risk in return for the possible potential of superior returns, in the full knowledge that this outcome is not guaranteed and that it is possible to make a loss on your investment. With regards to close-ended mutual funds, you commit to stay invested in the fund for the complete tenor of the specific scheme. You should also consider how much you wish to commit to any one type of investment, as over exposure in any particular investment is not recommended."
Can I change my mind and redeem my investments at any time?,"No, not always. In the case of close-ended funds, the schemes do not provide a redemption facility until the date of Maturity/Final Redemption date. However, as the units of these schemes may be listed on the stock exchange, investors who wish to exit/redeem before maturity may do so by undertaking a sale transaction through a SEBI registered stock broker. It must be noted that liquidity on exchange may not be readily available. You should also consider the fact that an early redemption may not help you meet your investment objectives. In the case of open-ended funds, you will redeem the funds, however the exit load fee may be levied. A capital gains tax may be applicable, hence you must consult your
tax advisor before redemption. Also, if the price of the units has lowered, then you will experience a capital loss."
How do I keep track of my investments in Mutual Funds?,"The price of mutual fund units or NAV is available through a variety of sources including newspapers, the internet (at www.amfiindia.com
www.amfiindia.com Visit the amfiindia website This link will open in a new window
) and statements received from the AMC. Customers registered for HSBC’s Personal Internet Banking (PIB) can view these details online through a tool called “Wealth Dashboard” at their convenience. Alternatively you can speak to your RM."
What are the tax implications of investing in Mutual Funds?,You should refer to the specific fund documentation for a detailed understanding of the tax consequences of both the fund itself and any effect that it will have on you personally. HSBC India does not offer any tax advice and we recommend that you consult your tax advisor for complete details on how the tax will affect you personally. The tax benefits and implications mentioned in any marketing material provided by the fund house are as per currently applicable tax laws and are subject to change in future.
Where can I get the information on the markets and various Mutual Funds available in the market?,"If you are registered on PIB with HSBC, you can access our tool ‘Wealth Dashboard’. This tool provides you information on the markets and various Mutual Funds available in the market. Alternatively you can contact your RM or nearest HSBC branch for this information."
Can I invest through HSBC?,"At HSBC, we offer a range of investment and insurance products for the customer’s consideration with respect to his / her investment objectives, financial situation, risk attitude and specific needs.. Please contact your RM or approach the nearest HSBC branch to undertake the financial goal planning journey with us."
How do I buy/sell investment products through HSBC?,"You can place your buy and redemption orders at any of the HSBC branches or through your PIB account. To place orders online, you would need to register on the PIB platform and Retail Investment System (RIS) available on PIB. Please contact your RM or approach the nearest HSBC branch to know more about investing with us."
Will HSBC provide regular statements of my investment to me?,"Yes. We provides monthly statements of the investments done through HSBC. As an HSBC customer, you may also access your investment portfolio through PIB, as referred above."
How do I contact HSBC for any queries or service requests?,"All account holders
The email address 'info@hsbc.co.in' is no longer in use. If you are looking for information about our products or services or have other queries, please refer to our comprehensive FAQs. In case you’re still unable to find the answer to your question, you can talk to a representative by selecting the Live Chat tab on this page. Live Chat can provide general information on the products and services, but for information related to your accounts, please call HSBC Phone Banking.
There are three easy ways to raise a service request with us:
Log on to Personal Internet Banking and send us a secured email. Click here if you have already registered for internet Banking. If you wish to register, please click here.
Call HSBC Phone Banking : Our Phone Banking executives can process the following requests only when you verify your Phone Banking Pin (subject to certain conditions).
Change in select demographic details such as mobile number, e-mail, mailing address.
Request for select deliverables such as debit card, debit card Pin, credit card & credit card Pin.
Maintenance requests such as placement of fixed deposit, change of maturity instructions, premature withdrawal of singly held deposits.
Visit your nearest HSBC India branch.
If you wish to register a complaint, please complete an online form.
If your card has been lost or stolen or you suspect any fraudulent account activity or for any urgent matter, please contact HSBC Phone Banking."
What is life Insurance?,Life insurance is a concept that aims to provide financial protection to the family members of the insured individual in case of an unfortunate eventuality such as the demise of the insured individual
Why do I need insurance?,"Insurance aims to provide financial protection to an individual, one’s family and assets from unfortunate eventualities such as death, accident, illness, etc. or loss of assets. A classic insurance policy, i.e. a term plan, provides financial assistance to your family in the unfortunate event of your death. In addition to that, modern day insurance policies have evolved to help you to build your corpus of wealth, plan for retirement, protect your house and personal belongings, reimburse medical expenses, hospitals bills, etc."
How do I ascertain or quantify my need for insurance?,"The value of the cover that you opt for should depend on your need for protection. If you are applying for asset insurance, the value should ideally cover the cost of replacing your asset. Similarly, the final payout of a term plan should compensate your family for the financial loss that they will face in case of your demise. Unit Linked Insurance Plans (ULIP), endowment or whole life policies should fall in line with your overall financial plan and enable you to receive funds when you expect to use them."
What are the different types of life insurance policies available in the market?,"Insurance policies are broadly classified into Life and General insurance products. Life insurance policies provide financial protection against loss of life. General insurance products provide financial protection against non-life events such as medical exigencies, accidents, for homes, travel, automobiles, etc."
What is nomination in an insurance product?,Nomination is a right conferred on the life insurance policyholder to appoint a person to receive the proceeds of the policy in the event of the policyholder’s demise.
Can I change my nominee in the insurance policy?,Yes. You as the life insurance policy holder can change your nomination any time before the date of maturity of the policy.
Can a minor be the nominee of an insurance policy?,"Yes, a minor can be the nominee of a policy. However, he or she must have a legal guardian in the form of an appointee."
What is a Claim in an insurance policy?,"A claim refers to a formal request to an insurance company asking for a payment based on the terms of the insurance policy. Insurance claims are reviewed by the company for their validity and then paid out to the insured or requesting party (on behalf of the insured) once approved. The payment is made in return for the premiums paid by the insured, however different policies would have terms of payout and the specific details need to be read and understood from the policy related documents or the sales representative before purchasing the policy."
Are there any advantages to buying insurance at an early age?,"Yes. The premium paid on the insurance policy is mainly dependent on the age of the policy holder and the tenure of the policy. The younger the policy holder, the lower is the amount of insurance premium."
What is health insurance?,Health insurance refers to protection against the costs of hospital and medical care or lost income arising from an illness or injury.
How important is it to disclose health status/history in my insurance application form?,"In an insurance application form, you are required to provide various details, including the details of any illnesses that you may have or may have suffered from until the time of completing the application. Such disclosures are very important, as if it is found that your responses in the form have been misleading, you and your nominee could lose the benefits of the policy."
Is my Insurance product guaranteed by HSBC?,"No. HSBC offers insurance products in the capacity of a corporate agent on behalf of the insurance company. The guarantee, if any, under your policy is provided by the insurance company. If your insurance policy offers any guarantees, they would be mentioned in the sales literature or benefit illustration issued by the insurance company."
What are the risks in Insurance Products? How do I know the risk levels of various Insurance Products?,"The risk of an insurance product would depend on the type of product. Largely insurance products are of two types and the associated risks are stated broadly. You need to read the insurance documents to understand the related risks in depth:
ULIP: In these plans the investment risk is borne entirely by the policyholder, these product offers various fund options from low risk to high risk, one needs to understand the risk involved in the funds and one’s own risk appetite before deciding to invest in ULIPs.
Traditional: The investment risk in traditional life insurance policies is borne by the insurer. The investment guidelines are regulated by Insurance Regulatory & Development Authority (IRDA) with an objective to provide stable returns with low risk.
The bank also review the risks associated with all insurance products and assigns a risk rating* to each product and its underlying investment funds. You may refer to HSBC’s Insurance Product Risk Ratings* document for further details on these risk ratings: www.hsbc.co.in/insurance/
www.hsbc.co.in/insurance/ Compare insurance options
*Insurance Product Risk Rating is an internal HSBC classification and does not represent the insurance company’s risk rating of their products or underlying funds"
What are the different fees & charges for Insurance? Where can I see these charges?,"The different types of fees and charges levied under ULIPs are given below.
Premium Allocation Charge is a percentage of the premium received and is charged at the time of receipt of the premium.
Mortality Charge is levied on a monthly basis by way of cancellation of Units at the beginning of each month.
Fund Management Fee is expressed as a percentage of Fund Value and is levied at the time of computation of the NAV by adjusting the Unit Price.
Policy Administration Charge is expressed as a percentage of premiums and is charged on a monthly basis during the Policy Term by cancellation of Units.
Partial Withdrawal Charge is deducted from the Fund Value by cancellation of Units at the time of partial withdrawals.
Surrender/Discontinuance Charge is expressed as a percentage of the Fund Value/annual premium.
Switching harge is levied on switching of Units from one Unit Linked Fund to another.
Miscellaneous Charge: The actual medical expenses, if any incurred in case of increase in Sum Assured will be recovered by the Insurer by cancellation of units from the Policy
You can know the charges applicable on your ULIP via:
Benefit illustration: A Benefit illustration demonstrates various charges, year by year, for the term of the plan so that you know exactly how much money is deducted as charges and what is invested.
Sales Brochure: The sales literature informs you about the various charges and the rationale for these charges
Key Features Document (KFD): This is the bank’s internal document that carries the product features and various charges applicable to the product."
How can I make my premium payments?,"You can pay your first and renewal premium through a host of options. Premiums can be paid by any of the below methods:
Cheque
Demand Draft
Standing Instruction(SI)/Electronic Clearing Service(ECS) {Bank Account & Credit Card}
Online payment
Interactive Voice Response (IVR) facility offered by the insurance company Credit card at insurance company offices"
How can I keep track of the progress of my investments of the ULIP and the unit prices of my investment choices?,"You will receive an annual statement showing details of your policy and the progress of your investments. Daily unit prices of the investment funds are available at www.canarahsbclife.com
www.canarahsbclife.com This link will open in a new window
. Moreover, you can manage your insurance policy by registering on the customer portal on the above mentioned website."
What if I change my mind after purchasing the Plan?,"As policyholder, you can evaluate the insurance policy and opt out if you are not satisfied with any conditions/features mentioned in the policy, within 15 days from the date of receipt of policy document. The Insurer will return the premium paid by you less the expenses incurred for paying stamp duty, cost of medical tests (if any) and pro-rated mortality charge during this period."
How much can I get back if I surrender the policy?,"The surrender value differs based on the nature and the terms of the policy. It is also dependent on the time within which you wish to surrender the policy. These details are mentioned in the insurance related documents, or you can also enquire the same with the sales representative before purchasing the policy. The Linked Insurance Products do not offer any liquidity during the first five years of the contract. The policyholder will not be able to withdraw the monies invested in Linked insurance Products completely or partially till the end of the fifth year. Even in case of surrender before five years, the policyholder will be able to withdraw the proceeds only at the end of fifth year."
